GeneSymbol	A1	B1	C1	D1	E1	A2	B2	C2	D2	E2
CXCL1	17.823631	18.097288	17.815094	17.736135	18.108793	16.86662	16.940443	16.556637	16.483898	17.179996
RASD1	7.8721285	8.070038	8.3436	8.537961	8.647342	6.5319333	6.8669033	7.364363	7.3886595	7.702431
HEXIM2	5.163593	5.612236	5.300177	5.359742	5.163712	6.229399	6.067139	6.2622757	6.7205095	6.495769
VAMP1	5.93548	5.900678	6.2407618	6.5036764	5.537054	6.919571	7.180214	7.433446	7.70073	6.7646112
MMP1	14.390143	13.913692	13.13867	13.735762	13.937885	12.16947	11.93276	11.564159	10.970112	12.157648
FAM129A	7.0009437	7.184901	8.534228	9.133409	7.173932	8.410375	8.844069	9.318111	9.919846	7.8039584
DSEL	7.7706056	7.451237	8.783645	8.901315	7.649909	6.872271	6.93813	7.686161	7.025557	6.528849
RP11-182I10.3-002	3.3406396	4.4394255	3.9467578	3.8698509	4.5537033	4.824275	5.2166586	5.4917145	4.438379	5.778012
NT5DC2	8.792934	9.15041	9.292812	9.133982	9.057174	7.8921113	8.025098	8.15639	8.213416	8.081589
PRLR	3.3568647	1.3554047	2.6196096	2.8573663	2.2603214	4.375452	3.59047	4.865872	4.7689056	3.8119423
CELF2	6.940097	6.6809187	8.040289	7.03059	7.205283	4.8000784	5.4890757	6.3684607	5.3333573	5.7432046
NKX3-1	8.815471	8.5944	8.14511	8.878388	9.186881	10.530319	10.729283	10.564192	11.1354685	10.529426
GRK5	8.071565	7.4923773	8.122639	6.92173	7.5050073	7.1361227	6.8163257	6.726851	5.9363117	6.2125187
FR264384	6.274694	6.1785846	5.370429	4.3686275	6.155017	4.1190786	4.1348023	3.9326031	3.7730002	5.2973714
RP11-243M5.1-001	5.984571	4.773973	4.8301077	3.8534832	4.3577175	4.3151736	3.9570236	3.7866066	3.3218472	3.3560145
JAG1	4.0725117	4.772802	5.921674	4.8079453	4.9352784	3.538367	3.947224	3.8814166	3.3534272	3.9292564
C5orf13	6.8827558	7.205406	7.5027227	7.576886	7.7246113	4.9995875	5.8106647	5.7812805	5.854424	6.444007
RASSF4	4.334462	3.6010551	4.345763	4.1408515	3.7203016	1.7582062	3.0074966	2.0420945	3.4796152	1.663485
SLC38A1	2.8208053	3.9337869	5.521475	3.5161142	5.118207	1.3187053	2.709985	3.4578269	1.5822836	3.2235649
KLHDC7B	7.9653015	5.2871337	7.0887284	3.8174374	6.815853	5.9465017	4.381273	6.144209	3.4745636	5.7381744
C15orf37	7.382274	7.601616	7.7808394	7.3974514	7.8182306	8.774025	8.525027	8.614464	8.988967	8.3394575
NKX3-1	8.955807	8.858736	8.719819	9.386084	9.627071	10.806484	11.090481	10.886304	11.432863	10.941723
FR169184	10.368193	10.315717	10.76204	10.99772	10.543691	11.4453125	11.715262	11.710702	11.978038	11.160198
AC009133.20-001	6.6102304	5.5294313	5.438901	4.962526	6.2027245	8.139827	7.1116233	7.1429815	7.2349586	8.262494
RFXAP	5.02279	5.0010796	5.2714357	4.9299083	5.2358675	4.107774	4.8695374	3.8073583	3.28863	4.13242
FOXF2	4.915067	4.5470796	6.2239075	5.997873	5.8194604	3.5586338	3.5203187	4.6067467	4.6237707	4.7643156
AGMAT	4.3237505	4.65059	4.3645244	3.7081223	4.2303224	2.5530446	3.7194166	3.298715	3.0483558	3.2749796
CDCP1	5.5030546	4.282454	3.7194166	3.548532	4.5921936	3.019755	2.9516737	2.4306118	2.7175767	3.4878545
CARD14	8.218503	8.092996	8.518019	8.942326	8.2885065	7.1940093	7.1692204	7.1894937	6.6620455	7.053318
RP11-78A19.2-001	5.9011364	5.112383	4.2860374	5.8371506	4.8913846	5.4247093	3.718368	2.7500808	4.764231	4.0889745
ADAMTS1	9.321407	9.082759	9.763236	8.77573	9.436076	8.162794	8.711845	8.063908	7.4380746	7.996209
MS4A7	7.922726	4.5456734	4.3600373	3.3732252	5.5723805	5.072703	3.5093927	1.7567611	1.559532	2.6315742
TNFRSF11B	14.232628	13.173217	14.475096	13.793839	14.384145	12.410989	11.944915	13.395622	12.680522	13.266053
C1orf96	4.225155	4.7052298	4.842801	5.07376	4.523751	3.1628969	4.1300316	2.9104962	2.7846339	3.943923
STEAP4	11.29379	10.845901	11.641771	8.645236	10.885598	8.659926	9.160166	8.732989	7.4787617	8.626647
PLCB1-IT1-001	6.838259	6.5755353	6.174032	5.748156	5.9492826	5.2332916	5.2871337	5.090712	4.730806	5.616313
CDKN2B	5.231442	5.706205	6.146958	6.579541	5.563618	7.202894	7.318499	7.149392	7.5577793	6.356337
linc-TAGAP-1	5.010043	5.4176636	4.743315	5.5254855	5.6542635	6.608384	7.0141363	6.2427917	7.9842043	7.3976164
FR407458	11.381938	10.642254	9.877253	9.531825	10.250126	9.775715	8.947062	9.063293	9.288814	9.388499
IL36RN	2.8184762	4.3234906	4.9343596	7.061408	3.7396243	4.609366	5.1267114	6.727564	7.914064	5.318643
CYP24A1	6.606415	4.472766	5.293923	3.58723	6.07255	2.6097882	1.5497539	1.8989996	2.4072967	2.7318242
RNU4ATAC	4.3823824	5.4247093	4.8108325	4.665654	4.925752	1.5660572	2.1747143	1.773514	2.17525	2.4215872
MEGF9	6.0278487	5.707677	5.674585	5.4252834	5.7825823	5.2476864	5.07386	4.3198485	4.0967607	4.85615
CXCL12	4.974283	4.923105	3.9561238	4.643444	4.0872416	2.4656098	3.6565745	1.5146421	2.7728925	2.3499398
GCNT4	4.7138977	4.452213	2.6914985	3.7568574	3.7342472	4.989425	5.485456	4.7589674	4.811952	4.4510736
GJA1	10.295832	10.28237	10.649027	10.454136	10.58828	9.117824	9.395988	9.325906	8.527723	9.436753
linc-MMP16-2	6.9437046	6.509166	6.7895927	6.944874	7.3752313	7.9635835	7.8103228	8.108006	7.724098	8.267099
ANKRD1	4.2727847	5.115658	3.7797377	5.8455157	4.606021	1.9510909	1.9732265	1.9534472	3.6241202	2.6038377
HERC5	5.337231	5.893657	6.056892	5.143162	5.6117096	5.758505	7.337313	7.4855146	7.502181	7.225598
LAMA3	2.4146636	4.147794	5.5892563	4.8845654	3.7780297	4.6654058	5.253895	5.9318237	5.83006	4.445088
LOC101927811	3.671104	2.4495845	3.2849622	4.107163	4.4375296	4.207876	4.6752887	4.430147	5.189155	4.8233304
CCR10	5.624269	5.3619733	5.7105746	5.3443136	5.826107	7.1373334	7.039537	6.9820924	6.6907125	7.476456
TUB	4.933347	5.793914	5.5339227	5.955205	5.9230423	3.425119	5.049136	4.4381557	5.0893154	5.111661
LGI2	5.185891	4.4914217	5.2931495	6.8279524	5.9684606	1.4338673	3.9713624	4.1210947	4.9093885	4.484728
LMCD1	9.196587	9.321532	8.602532	8.575153	7.9699035	7.5517097	8.148494	7.2279844	7.8572774	6.734989
DTNA	4.8805566	4.82101	4.969881	4.9519525	4.452213	4.4699717	2.6386817	3.3603406	4.038356	3.3245192
GABRQ	3.1298592	3.8307521	3.9315245	3.3613446	4.519244	5.6219783	5.516523	5.0877085	4.1547327	5.570191
CD274	10.305633	8.565676	8.0730095	9.245565	9.781773	10.367795	10.331525	9.740188	10.720977	10.221917
CD34	3.426622	4.3386707	5.461543	5.8995705	4.0864277	5.334049	5.652503	5.952177	6.681462	4.607521
LOXL4	7.1044803	6.521611	7.276066	5.371714	5.910626	4.465525	5.092779	5.16623	4.684717	4.215604
PNMA2	7.5163617	6.581335	6.4145255	6.3320007	6.5286446	6.2618084	5.812305	4.8683677	5.3165674	4.915143
CSF3	10.583193	10.897073	9.959642	10.403148	10.003372	7.409186	7.609497	7.90139	7.8394513	7.9286575
CD83	6.091055	5.121364	6.0841875	7.248969	5.991444	7.5225644	7.039155	7.8350353	8.682837	6.695054
SLC6A9	10.3133335	9.830233	9.37869	8.009217	9.545088	7.3046646	6.9148874	7.7766066	6.4625635	8.068757
PLK2	8.001395	9.384484	9.185071	10.100941	8.707422	6.6095843	8.314654	7.483426	8.229461	7.282389
FR353987	6.304945	5.7059402	6.3840685	7.5184326	6.413901	7.948335	7.5626564	8.35194	8.861037	6.829929
RASSF10	5.006103	4.454023	4.037069	4.5564504	3.7983413	2.6961155	3.9243913	3.2044873	2.2422202	2.354401
FR066129	6.9838777	6.6982822	6.9947166	6.68764	6.9940367	4.6152835	4.9821224	4.6671495	4.85498	4.678261
GOT1L1	4.8574295	5.0792685	4.924144	5.1112785	4.9139915	3.4951293	3.6532164	3.9276707	3.7051382	4.2492857
ENOX1	4.183683	4.3823824	3.9198084	4.3566327	4.005361	2.9860806	4.0920677	2.0328312	3.5246859	2.3932004
C5orf13	5.516246	6.2183285	6.604732	6.5989547	6.595379	2.7221966	4.7734184	4.596707	4.3850245	5.4583044
LOC100130476	7.9047575	7.625229	7.5321293	7.8381157	7.7419715	8.707883	8.580942	8.956877	9.200515	8.811415
WARS	14.047376	12.677952	12.868648	13.475548	14.873519	11.970211	12.191688	12.346055	12.417913	13.471327
SV2A	5.370048	5.724472	5.6592436	5.456006	5.8158727	3.6796117	5.0666585	4.1915646	5.176266	4.9052806
PYCR1	5.959335	6.974251	6.5798607	6.1242795	6.800978	4.1396146	5.0677676	4.9568925	5.20515	5.648956
linc-TAGAP-1	4.781161	5.3559766	3.9291568	5.457045	5.2309504	7.2868547	7.5511475	6.3990407	7.7650013	7.503155
CDCA7L	5.7622895	5.8800564	6.1853757	5.802503	5.6875896	4.7149553	5.0281606	4.990291	4.48504	4.7894425
SLCO5A1	2.4230993	2.0161407	2.7332788	3.3598962	2.5396829	3.8052828	4.1639156	4.714884	5.576009	4.0766244
AREG	6.94082	6.769625	6.6775985	7.1830835	6.6944714	5.2849746	5.1218524	4.851514	4.91389	5.2485714
PLCD4	5.437317	5.091687	4.977109	4.5943174	5.1044087	3.3385966	4.263994	4.4511905	3.549047	4.478551
PPP1R32	4.0303874	3.1450257	3.5375118	3.4866567	2.4129198	5.0814486	4.2701716	4.671179	4.797631	4.4016027
