ENSG00000128016	ENSG00000006075	ZFP36	CCL3	physical
ENSG00000006075	ENSG00000129277	CCL3	CCL4	physical
ENSG00000006075	ENSG00000160791	CCL3	CCR5	physical
ENSG00000183813	ENSG00000006075	CCR4	CCL3	physical
ENSG00000006606	ENSG00000142192	CCL26	APP	physical
ENSG00000121022	ENSG00000081041	COPS5	CXCL2	physical
ENSG00000145675	ENSG00000081041	PIK3R1	CXCL2	physical
ENSG00000150991	ENSG00000081041	UBC	CXCL2	physical
ENSG00000081041	ENSG00000151491	CXCL2	EPS8	physical
ENSG00000177733	ENSG00000081041	HNRNPA0	CXCL2	physical
ENSG00000082512	ENSG00000006062	TRAF5	MAP3K14	physical
ENSG00000006327	ENSG00000082512	TNFRSF12A	TRAF5	physical
ENSG00000082512	ENSG00000015171	TRAF5	ZMYND11	physical
ENSG00000048462	ENSG00000082512	TNFRSF17	TRAF5	physical
ENSG00000082512	ENSG00000049249	TRAF5	TNFRSF9	physical
ENSG00000082512	ENSG00000055332	TRAF5	EIF2AK2	physical
ENSG00000064300	ENSG00000082512	NGFR	TRAF5	physical
ENSG00000082512	ENSG00000066044	TRAF5	ELAVL1	physical
ENSG00000082512	ENSG00000086666	TRAF5	ZFAND6	physical
ENSG00000082512	ENSG00000088888	TRAF5	MAVS	physical
ENSG00000082512	ENSG00000101017	TRAF5	CD40	physical
ENSG00000102780	ENSG00000082512	DGKH	TRAF5	physical
ENSG00000104312	ENSG00000082512	RIPK2	TRAF5	physical
ENSG00000082512	ENSG00000105245	TRAF5	NUMBL	physical
ENSG00000107816	ENSG00000082512	LZTS2	TRAF5	physical
ENSG00000108395	ENSG00000082512	TRIM37	TRAF5	physical
ENSG00000111321	ENSG00000082512	LTBR	TRAF5	physical
ENSG00000082512	ENSG00000111802	TRAF5	TDP2	physical
ENSG00000082512	ENSG00000115806	TRAF5	GORASP2	physical
ENSG00000120949	ENSG00000082512	TNFRSF8	TRAF5	physical
ENSG00000082512	ENSG00000123609	TRAF5	NMI	physical
ENSG00000126247	ENSG00000082512	CAPNS1	TRAF5	physical
ENSG00000082512	ENSG00000127191	TRAF5	TRAF2	physical
ENSG00000127666	ENSG00000082512	TICAM1	TRAF5	physical
ENSG00000127863	ENSG00000082512	TNFRSF19	TRAF5	physical
ENSG00000082512	ENSG00000131323	TRAF5	TRAF3	physical
ENSG00000082512	ENSG00000131931	TRAF5	THAP1	physical
ENSG00000135341	ENSG00000082512	MAP3K7	TRAF5	physical
ENSG00000135679	ENSG00000082512	MDM2	TRAF5	physical
ENSG00000137275	ENSG00000082512	RIPK1	TRAF5	physical
ENSG00000137575	ENSG00000082512	SDCBP	TRAF5	physical
ENSG00000139193	ENSG00000082512	CD27	TRAF5	physical
ENSG00000141655	ENSG00000082512	TNFRSF11A	TRAF5	physical
ENSG00000148444	ENSG00000082512	COMMD3	TRAF5	physical
ENSG00000152413	ENSG00000082512	HOMER1	TRAF5	physical
ENSG00000157020	ENSG00000082512	SEC13	TRAF5	physical
ENSG00000157450	ENSG00000082512	RNF111	TRAF5	physical
ENSG00000157873	ENSG00000082512	TNFRSF14	TRAF5	physical
ENSG00000082512	ENSG00000164597	TRAF5	COG5	physical
ENSG00000082512	ENSG00000165675	TRAF5	ENOX2	physical
ENSG00000082512	ENSG00000168434	TRAF5	COG7	physical
ENSG00000170542	ENSG00000082512	SERPINB9	TRAF5	physical
ENSG00000171206	ENSG00000082512	TRIM8	TRAF5	physical
ENSG00000082512	ENSG00000175104	TRAF5	TRAF6	physical
ENSG00000082512	ENSG00000175931	TRAF5	UBE2O	physical
ENSG00000082512	ENSG00000176953	TRAF5	NFATC2IP	physical
ENSG00000179262	ENSG00000082512	RAD23A	TRAF5	physical
ENSG00000183763	ENSG00000082512	TRAIP	TRAF5	physical
ENSG00000082512	ENSG00000186827	TRAF5	TNFRSF4	physical
ENSG00000187555	ENSG00000082512	USP7	TRAF5	physical
ENSG00000082512	ENSG00000197442	TRAF5	MAP3K5	physical
ENSG00000082512	ENSG00000198742	TRAF5	SMURF1	genetic
ENSG00000082512	ENSG00000204713	TRAF5	TRIM27	physical
ENSG00000082512	ENSG00000240505	TRAF5	TNFRSF13B	physical
ENSG00000100784	ENSG00000002330	RPS6KA5	BAD	physical
ENSG00000100784	ENSG00000005339	RPS6KA5	CREBBP	physical
ENSG00000100784	ENSG00000006468	RPS6KA5	ETV1	physical
ENSG00000100784	ENSG00000007923	RPS6KA5	DNAJC11	physical
ENSG00000100784	ENSG00000034677	RPS6KA5	RNF19A	physical
ENSG00000056736	ENSG00000100784	IL17RB	RPS6KA5	physical
ENSG00000100784	ENSG00000072832	RPS6KA5	CRMP1	physical
ENSG00000080824	ENSG00000100784	HSP90AA1	RPS6KA5	physical
ENSG00000100784	ENSG00000099956	RPS6KA5	SMARCB1	physical
ENSG00000100784	ENSG00000100030	RPS6KA5	MAPK1	genetic
ENSG00000100784	ENSG00000100393	RPS6KA5	EP300	physical
ENSG00000100784	ENSG00000100632	RPS6KA5	ERH	physical
ENSG00000100784	ENSG00000106211	RPS6KA5	HSPB1	physical
ENSG00000100784	ENSG00000106462	RPS6KA5	EZH2	physical
ENSG00000100784	ENSG00000107438	RPS6KA5	PDLIM1	physical
ENSG00000100784	ENSG00000108557	RPS6KA5	RAI1	physical
ENSG00000100784	ENSG00000109103	RPS6KA5	UNC119	physical
ENSG00000100784	ENSG00000109320	RPS6KA5	NFKB1	physical
ENSG00000112062	ENSG00000100784	MAPK14	RPS6KA5	physical
ENSG00000100784	ENSG00000113580	RPS6KA5	NR3C1	physical
ENSG00000115414	ENSG00000100784	FN1	RPS6KA5	physical
ENSG00000100784	ENSG00000115966	RPS6KA5	ATF2	physical
ENSG00000100784	ENSG00000118260	RPS6KA5	CREB1	physical
ENSG00000100784	ENSG00000127616	RPS6KA5	SMARCA4	physical
ENSG00000132383	ENSG00000100784	RPA1	RPS6KA5	physical
ENSG00000135272	ENSG00000100784	MDFIC	RPS6KA5	physical
ENSG00000100784	ENSG00000137834	RPS6KA5	SMAD6	physical
ENSG00000100784	ENSG00000138798	RPS6KA5	EGF	genetic
ENSG00000100784	ENSG00000142192	RPS6KA5	APP	physical
ENSG00000100784	ENSG00000151247	RPS6KA5	EIF4E	physical
ENSG00000100784	ENSG00000153066	RPS6KA5	TXNDC11	physical
ENSG00000158301	ENSG00000100784	GPRASP2	RPS6KA5	physical
ENSG00000159063	ENSG00000100784	ALG8	RPS6KA5	physical
ENSG00000100784	ENSG00000164924	RPS6KA5	YWHAZ	physical
ENSG00000100784	ENSG00000173039	RPS6KA5	RELA	physical
ENSG00000100784	ENSG00000183941	RPS6KA5	HIST2H4A	physical
ENSG00000100784	ENSG00000184009	RPS6KA5	ACTG1	physical
ENSG00000100784	ENSG00000184678	RPS6KA5	HIST2H2BE	physical
ENSG00000184900	ENSG00000100784	SUMO3	RPS6KA5	physical
ENSG00000100784	ENSG00000185008	RPS6KA5	ROBO2	physical
ENSG00000100784	ENSG00000185386	RPS6KA5	MAPK11	genetic
ENSG00000100784	ENSG00000186868	RPS6KA5	MAPT	physical
ENSG00000100784	ENSG00000196456	RPS6KA5	ZNF775	physical
ENSG00000100784	ENSG00000196966	RPS6KA5	HIST1H3E	physical
ENSG00000100784	ENSG00000203811	RPS6KA5	HIST2H3C	physical
ENSG00000204435	ENSG00000100784	CSNK2B	RPS6KA5	physical
ENSG00000100784	ENSG00000204673	RPS6KA5	AKT1S1	physical
ENSG00000100784	ENSG00000205726	RPS6KA5	ITSN1	physical
ENSG00000100784	ENSG00000206395	RPS6KA5	DDAH2	physical
ENSG00000101017	ENSG00000023318	CD40	ERP44	physical
ENSG00000101017	ENSG00000023445	CD40	BIRC3	physical
ENSG00000101017	ENSG00000056558	CD40	TRAF1	physical
ENSG00000056972	ENSG00000101017	TRAF3IP2	CD40	physical
ENSG00000101017	ENSG00000065559	CD40	MAP2K4	physical
ENSG00000101017	ENSG00000069869	CD40	NEDD4	physical
ENSG00000101017	ENSG00000073009	CD40	IKBKG	physical
ENSG00000101017	ENSG00000076604	CD40	TRAF4	physical
ENSG00000101017	ENSG00000076984	CD40	MAP2K7	physical
ENSG00000077238	ENSG00000101017	IL4R	CD40	physical
ENSG00000101017	ENSG00000079246	CD40	XRCC5	physical
ENSG00000101017	ENSG00000082512	CD40	TRAF5	physical
ENSG00000101017	ENSG00000088808	CD40	PPP1R13B	physical
ENSG00000101017	ENSG00000092098	CD40	RNF31	physical
ENSG00000101017	ENSG00000095015	CD40	MAP3K1	physical
ENSG00000102245	ENSG00000101017	CD40LG	CD40	physical
ENSG00000101017	ENSG00000104312	CD40	RIPK2	physical
ENSG00000101017	ENSG00000104365	CD40	IKBKB	physical
ENSG00000101017	ENSG00000105202	CD40	FBL	physical
ENSG00000101017	ENSG00000107643	CD40	MAPK8	physical
ENSG00000101017	ENSG00000107968	CD40	MAP3K8	physical
ENSG00000101017	ENSG00000110330	CD40	BIRC2	physical
ENSG00000101017	ENSG00000110395	CD40	CBL	physical
ENSG00000101017	ENSG00000111445	CD40	RFC5	physical
ENSG00000101017	ENSG00000111802	CD40	TDP2	physical
ENSG00000101017	ENSG00000112473	CD40	SLC39A7	physical
ENSG00000101017	ENSG00000115317	CD40	HTRA2	physical
ENSG00000101017	ENSG00000118515	CD40	SGK1	physical
ENSG00000101017	ENSG00000121879	CD40	PIK3CA	physical
ENSG00000101017	ENSG00000127191	CD40	TRAF2	physical
ENSG00000101017	ENSG00000131323	CD40	TRAF3	physical
ENSG00000101017	ENSG00000135341	CD40	MAP3K7	physical
ENSG00000101017	ENSG00000135655	CD40	USP15	physical
ENSG00000136560	ENSG00000101017	TANK	CD40	physical
ENSG00000101017	ENSG00000136731	CD40	UGGT1	physical
ENSG00000101017	ENSG00000136810	CD40	TXN	physical
ENSG00000101017	ENSG00000145675	CD40	PIK3R1	physical
ENSG00000151929	ENSG00000101017	BAG3	CD40	physical
ENSG00000101017	ENSG00000152193	CD40	RNF219	physical
ENSG00000101017	ENSG00000156738	CD40	MS4A1	physical
ENSG00000101017	ENSG00000162695	CD40	SLC30A7	physical
ENSG00000101017	ENSG00000163113	CD40	OTUD7B	physical
ENSG00000101017	ENSG00000163882	CD40	POLR2H	physical
ENSG00000101017	ENSG00000170606	CD40	HSPA4	physical
ENSG00000101017	ENSG00000175104	CD40	TRAF6	physical
ENSG00000101017	ENSG00000177889	CD40	UBE2N	physical
ENSG00000101017	ENSG00000179218	CD40	CALR	physical
ENSG00000101017	ENSG00000184047	CD40	DIABLO	physical
ENSG00000101017	ENSG00000185104	CD40	FAF1	physical
ENSG00000101017	ENSG00000196419	CD40	XRCC6	physical
ENSG00000198646	ENSG00000101017	NCOA6	CD40	physical
ENSG00000101017	ENSG00000213341	CD40	CHUK	physical
ENSG00000101017	ENSG00000215301	CD40	DDX3X	physical
ENSG00000074181	ENSG00000101384	NOTCH3	JAG1	physical
ENSG00000101384	ENSG00000101752	JAG1	MIB1	physical
ENSG00000101384	ENSG00000109670	JAG1	FBXW7	physical
ENSG00000130396	ENSG00000101384	MLLT4	JAG1	physical
ENSG00000101384	ENSG00000134250	JAG1	NOTCH2	physical
ENSG00000101384	ENSG00000148400	JAG1	NOTCH1	physical
ENSG00000101384	ENSG00000185359	JAG1	HGS	physical
ENSG00000106952	ENSG00000120949	TNFSF8	TNFRSF8	physical
ENSG00000038427	ENSG00000107562	VCAN	CXCL12	physical
ENSG00000115414	ENSG00000107562	FN1	CXCL12	physical
ENSG00000121966	ENSG00000107562	CXCR4	CXCL12	physical
ENSG00000163737	ENSG00000107562	PF4	CXCL12	physical
ENSG00000107562	ENSG00000183283	CXCL12	DAZAP2	physical
ENSG00000066044	ENSG00000108688	ELAVL1	CCL7	physical
ENSG00000087245	ENSG00000108688	MMP2	CCL7	physical
ENSG00000121807	ENSG00000108688	CCR2	CCL7	physical
ENSG00000108688	ENSG00000135018	CCL7	UBQLN1	physical
ENSG00000108688	ENSG00000149557	CCL7	FEZ1	physical
ENSG00000163823	ENSG00000108688	CCR1	CCL7	physical
ENSG00000183625	ENSG00000108688	CCR3	CCL7	physical
ENSG00000038427	ENSG00000108691	VCAN	CCL2	physical
ENSG00000108691	ENSG00000073111	CCL2	MCM2	physical
ENSG00000108691	ENSG00000093009	CCL2	CDC45	physical
ENSG00000108691	ENSG00000094804	CCL2	CDC6	physical
ENSG00000108691	ENSG00000112118	CCL2	MCM3	physical
ENSG00000108691	ENSG00000115942	CCL2	ORC2	physical
ENSG00000108691	ENSG00000115947	CCL2	ORC4	physical
ENSG00000108691	ENSG00000121807	CCL2	CCR2	physical
ENSG00000108691	ENSG00000132646	CCL2	PCNA	physical
ENSG00000161570	ENSG00000108691	CCL5	CCL2	genetic
ENSG00000108691	ENSG00000166508	CCL2	MCM7	physical
ENSG00000183625	ENSG00000108691	CCR3	CCL2	physical
ENSG00000038427	ENSG00000108700	VCAN	CCL8	physical
ENSG00000110944	ENSG00000010295	IL23A	IFFO1	physical
ENSG00000110944	ENSG00000051108	IL23A	HERPUD1	physical
ENSG00000110944	ENSG00000096996	IL23A	IL12RB1	physical
ENSG00000110944	ENSG00000113302	IL23A	IL12B	physical
ENSG00000110944	ENSG00000162594	IL23A	IL23R	physical
ENSG00000162735	ENSG00000110944	PEX19	IL23A	physical
ENSG00000110944	ENSG00000181852	IL23A	RNF41	physical
ENSG00000112964	ENSG00000070159	GHR	PTPN3	physical
ENSG00000112964	ENSG00000072803	GHR	FBXW11	physical
ENSG00000112964	ENSG00000080031	GHR	PTPRH	physical
ENSG00000112964	ENSG00000096968	GHR	JAK2	physical
ENSG00000112964	ENSG00000103266	GHR	STUB1	physical
ENSG00000112964	ENSG00000104969	GHR	SGTA	physical
ENSG00000112964	ENSG00000105397	GHR	TYK2	physical
ENSG00000106070	ENSG00000112964	GRB10	GHR	physical
ENSG00000112964	ENSG00000113558	GHR	SKP1	physical
ENSG00000112964	ENSG00000114737	GHR	CISH	physical
ENSG00000112964	ENSG00000120833	GHR	SOCS2	physical
ENSG00000124181	ENSG00000112964	PLCG1	GHR	physical
ENSG00000112964	ENSG00000127329	GHR	PTPRB	physical
ENSG00000145675	ENSG00000112964	PIK3R1	GHR	physical
ENSG00000160691	ENSG00000112964	SHC1	GHR	physical
ENSG00000112964	ENSG00000162434	GHR	JAK1	physical
ENSG00000112964	ENSG00000163629	GHR	PTPN13	physical
ENSG00000112964	ENSG00000164086	GHR	DUSP7	physical
